날짜,종가,전일비,시가,고가,저가,거래량
2011.06.07,16900.0,1100.0,15800.0,17000.0,15600.0,2100255.0
2011.06.08,16100.0,800.0,16900.0,17200.0,15800.0,1399354.0
2011.06.09,15300.0,800.0,16150.0,16550.0,14700.0,3374344.0
2011.06.10,16100.0,800.0,15200.0,16500.0,15150.0,2061255.0
2011.06.13,15750.0,350.0,15750.0,16150.0,15450.0,711045.0
2011.06.14,15900.0,150.0,15850.0,16200.0,15750.0,585748.0
2011.06.15,15850.0,50.0,16100.0,16150.0,15800.0,243504.0
2011.06.16,16150.0,300.0,15950.0,16150.0,15650.0,205971.0
2011.06.17,15650.0,500.0,16100.0,16450.0,15650.0,566826.0
2011.06.20,15750.0,100.0,15750.0,15900.0,15650.0,274161.0
2011.06.21,15950.0,200.0,15850.0,16000.0,15750.0,311891.0
2011.06.22,15400.0,550.0,16100.0,16150.0,15400.0,543058.0
2011.06.23,15700.0,300.0,15400.0,15800.0,15400.0,438896.0
2011.06.24,15950.0,250.0,15600.0,15950.0,15500.0,326255.0
2011.06.27,15800.0,150.0,15750.0,15850.0,15650.0,206201.0
2011.06.28,15700.0,100.0,15950.0,15950.0,15700.0,401107.0
2011.06.29,16100.0,400.0,15900.0,16200.0,15800.0,366817.0
2011.06.30,16200.0,100.0,16250.0,16250.0,15950.0,385159.0
2011.07.01,16150.0,50.0,16300.0,16300.0,15900.0,350708.0
2011.07.04,16450.0,300.0,16300.0,16500.0,16200.0,376428.0
2011.07.05,16450.0,0.0,16500.0,16650.0,16450.0,197520.0
2011.07.06,16500.0,50.0,16450.0,16550.0,16350.0,155801.0
2011.07.07,16700.0,200.0,16400.0,16700.0,16350.0,288842.0
2011.07.08,16700.0,0.0,16750.0,16750.0,16500.0,164868.0
2011.07.11,16700.0,0.0,16700.0,16700.0,16150.0,185972.0
2011.07.12,16300.0,400.0,16300.0,16700.0,16200.0,102980.0
2011.07.13,16150.0,150.0,16250.0,16400.0,16050.0,259282.0
2011.07.14,15900.0,250.0,16100.0,16150.0,15800.0,271148.0
2011.07.15,16000.0,100.0,15900.0,16000.0,15800.0,316890.0
2011.07.18,16050.0,50.0,16000.0,16050.0,15950.0,219983.0
2011.07.19,16050.0,0.0,15850.0,16150.0,15850.0,705994.0
2011.07.20,16350.0,300.0,16250.0,16350.0,16000.0,783478.0
2011.07.21,16550.0,200.0,16350.0,16600.0,16300.0,403942.0
2011.07.22,16800.0,250.0,16700.0,16950.0,16650.0,616716.0
2011.07.25,16800.0,0.0,16800.0,16850.0,16600.0,130597.0
