날짜,종가,전일비,시가,고가,저가,거래량
2000.01.04,7880.0,580.0,7160.0,8300.0,7050.0,964040.0
2000.01.05,7880.0,0.0,7890.0,8180.0,7600.0,806970.0
2000.01.06,7180.0,700.0,8140.0,8140.0,7180.0,430340.0
2000.01.07,7200.0,20.0,7200.0,7500.0,7180.0,476380.0
2000.01.10,7440.0,240.0,7290.0,7510.0,7200.0,596300.0
2000.01.11,7300.0,140.0,7430.0,7430.0,7150.0,370870.0
2000.01.12,7200.0,100.0,7200.0,7220.0,7110.0,333710.0
2000.01.13,7400.0,200.0,7380.0,7430.0,7110.0,506340.0
2000.01.14,7160.0,240.0,7500.0,7500.0,7120.0,177190.0
2000.01.17,7280.0,120.0,7090.0,7280.0,7080.0,219380.0
2000.01.18,6900.0,380.0,7120.0,7180.0,6810.0,351940.0
2000.01.19,6600.0,300.0,7000.0,7040.0,6560.0,284320.0
2000.01.20,6490.0,110.0,6410.0,6600.0,6000.0,586520.0
2000.01.21,6500.0,10.0,6400.0,6940.0,6090.0,488620.0
2000.01.24,6800.0,300.0,6500.0,7090.0,6360.0,658050.0
2000.01.25,6650.0,150.0,6700.0,6810.0,6510.0,563250.0
2000.01.26,7050.0,400.0,6700.0,7100.0,6650.0,629370.0
2000.01.27,8050.0,1000.0,7060.0,8100.0,7060.0,1062020.0
2000.01.28,7910.0,140.0,8050.0,8330.0,7810.0,1016490.0
2000.01.31,8300.0,390.0,7920.0,8750.0,7810.0,1204420.0
2000.02.02,8650.0,350.0,8200.0,8700.0,8200.0,692500.0
2000.02.03,8500.0,150.0,8700.0,8800.0,8450.0,373100.0
2000.02.07,8000.0,500.0,8490.0,8490.0,8000.0,729190.0
2000.02.08,7800.0,200.0,7900.0,7970.0,7730.0,417790.0
2000.02.09,7470.0,330.0,7800.0,7900.0,7430.0,424760.0
2000.02.10,6900.0,570.0,7140.0,7360.0,6900.0,553670.0
2000.02.11,6450.0,450.0,6900.0,7090.0,6410.0,742180.0
2000.02.14,6400.0,50.0,6500.0,6680.0,6400.0,928260.0
2000.02.15,6400.0,0.0,6350.0,6600.0,6300.0,557120.0
2000.02.16,6590.0,190.0,6600.0,6950.0,6400.0,525610.0
2000.02.17,6500.0,90.0,6500.0,6700.0,6350.0,349030.0
2000.02.18,6430.0,70.0,6500.0,6500.0,6260.0,445340.0
2000.02.21,5950.0,480.0,6300.0,6400.0,5950.0,370630.0
