날짜,종가,전일비,시가,고가,저가,거래량
2011.07.29,9300.0,1600.0,10900.0,12000.0,9300.0,3325359.0
2011.08.01,8360.0,940.0,8560.0,8660.0,8090.0,2654708.0
2011.08.02,8080.0,280.0,8430.0,8690.0,7960.0,1528646.0
2011.08.03,7700.0,380.0,8030.0,8150.0,7550.0,775739.0
2011.08.04,7150.0,550.0,7850.0,8030.0,7150.0,891265.0
2011.08.05,6150.0,1000.0,6350.0,6580.0,6080.0,705037.0
2011.08.08,5410.0,740.0,6000.0,6330.0,5230.0,562288.0
2011.08.09,4750.0,660.0,4975.0,5240.0,4600.0,605256.0
2011.08.10,4910.0,160.0,5180.0,5280.0,4910.0,542444.0
2011.08.11,5330.0,420.0,4550.0,5330.0,4550.0,525178.0
2011.08.12,5090.0,240.0,5490.0,5670.0,5080.0,518117.0
2011.08.16,5700.0,610.0,5290.0,5820.0,5290.0,655148.0
2011.08.17,5920.0,220.0,5700.0,6180.0,5520.0,644062.0
2011.08.18,5760.0,160.0,6080.0,6080.0,5600.0,296568.0
2011.08.19,5230.0,530.0,5250.0,5460.0,5100.0,335907.0
2011.08.22,5370.0,140.0,5400.0,5560.0,5260.0,253302.0
2011.08.23,5380.0,10.0,5520.0,5580.0,5350.0,164006.0
2011.08.24,5270.0,110.0,5500.0,5530.0,5270.0,146600.0
2011.08.25,5690.0,420.0,5840.0,5970.0,5580.0,596151.0
2011.08.26,5580.0,110.0,5680.0,5680.0,5450.0,175325.0
2011.08.29,5750.0,170.0,5600.0,5850.0,5600.0,112590.0
2011.08.30,5660.0,90.0,5830.0,5850.0,5600.0,136496.0
2011.08.31,6500.0,840.0,5800.0,6500.0,5760.0,759719.0
2011.09.01,6310.0,190.0,6650.0,6870.0,6170.0,851360.0
2011.09.02,6390.0,80.0,6320.0,6430.0,6120.0,417874.0
2011.09.05,5930.0,460.0,6300.0,6330.0,5850.0,268271.0
2011.09.06,5130.0,800.0,5750.0,5850.0,5090.0,353586.0
2011.09.07,5370.0,240.0,5300.0,5410.0,5220.0,134126.0
2011.09.08,5220.0,150.0,5470.0,5490.0,5150.0,105516.0
