날짜,종가,전일비,시가,고가,저가,거래량
2014.12.12,2010.0,0.0,2010.0,2015.0,1995.0,326671.0
2014.12.15,2015.0,5.0,2010.0,2020.0,2000.0,114934.0
2014.12.16,2005.0,10.0,2005.0,2020.0,2005.0,63510.0
2014.12.17,2010.0,5.0,2005.0,2010.0,2000.0,53251.0
2014.12.18,2030.0,20.0,2010.0,2040.0,2005.0,26583.0
2014.12.19,2005.0,25.0,2005.0,2040.0,2000.0,95166.0
2014.12.22,2005.0,0.0,2000.0,2010.0,2000.0,13467.0
2014.12.23,2025.0,20.0,2010.0,2050.0,2005.0,32200.0
2014.12.24,2010.0,15.0,2005.0,2065.0,2005.0,22211.0
2014.12.26,2005.0,5.0,2010.0,2010.0,2005.0,21214.0
2014.12.29,2000.0,5.0,2000.0,2005.0,2000.0,104858.0
2014.12.30,2005.0,5.0,2000.0,2020.0,2000.0,14993.0
2015.01.02,2005.0,0.0,2000.0,2025.0,2000.0,138477.0
2015.01.05,2040.0,35.0,2005.0,2040.0,2005.0,40633.0
2015.01.06,2050.0,10.0,2010.0,2095.0,2010.0,38234.0
2015.01.07,2030.0,20.0,2030.0,2040.0,2020.0,86305.0
2015.01.08,2080.0,50.0,2030.0,2100.0,2030.0,43423.0
2015.01.09,2110.0,30.0,2080.0,2110.0,2060.0,44285.0
2015.01.12,2065.0,45.0,2095.0,2100.0,2050.0,73039.0
2015.01.13,2100.0,35.0,2100.0,2100.0,2065.0,105727.0
2015.01.14,2125.0,25.0,2080.0,2170.0,2080.0,87625.0
2015.01.15,2135.0,10.0,2100.0,2135.0,2100.0,6970.0
2015.01.16,2150.0,15.0,2135.0,2155.0,2135.0,53975.0
2015.01.19,2170.0,20.0,2140.0,2180.0,2140.0,41893.0
2015.01.20,2185.0,15.0,2200.0,2200.0,2170.0,31861.0
2015.01.21,2165.0,20.0,2185.0,2185.0,2105.0,13373.0
2015.01.22,2180.0,15.0,2070.0,2180.0,2070.0,55734.0
2015.01.23,2180.0,0.0,2170.0,2180.0,2145.0,804.0
2015.01.26,2170.0,10.0,2190.0,2190.0,2170.0,8496.0
2015.01.27,2100.0,70.0,2165.0,2165.0,2080.0,14981.0
2015.01.28,2150.0,50.0,2110.0,2155.0,2110.0,10960.0
2015.01.29,2155.0,5.0,2160.0,2160.0,2120.0,4525.0
2015.01.30,2150.0,5.0,2150.0,2170.0,2150.0,13015.0
2015.02.02,2170.0,20.0,2180.0,2185.0,2150.0,21552.0
2015.02.03,2180.0,10.0,2175.0,2200.0,2175.0,7570.0
2015.02.04,2195.0,15.0,2185.0,2225.0,2185.0,105867.0
2015.02.05,2200.0,5.0,2190.0,2495.0,2160.0,8230.0
2015.02.06,2335.0,135.0,2300.0,2360.0,2170.0,58214.0
2015.02.09,2305.0,30.0,2370.0,2370.0,2265.0,35044.0
2015.02.10,2295.0,10.0,2340.0,2360.0,2295.0,30586.0
2015.02.11,2295.0,0.0,2305.0,2345.0,2295.0,13398.0
2015.02.12,2360.0,65.0,2295.0,2360.0,2295.0,21966.0
2015.02.13,2365.0,5.0,2330.0,2375.0,2290.0,17538.0
2015.02.16,2395.0,30.0,2365.0,2395.0,2320.0,11481.0
2015.02.17,2350.0,45.0,2395.0,2410.0,2300.0,35284.0
2015.02.23,2305.0,45.0,2350.0,2375.0,2305.0,14411.0
2015.02.24,2300.0,5.0,2305.0,2345.0,2300.0,13121.0
2015.02.25,2340.0,40.0,2375.0,2375.0,2305.0,848.0
2015.02.26,2340.0,0.0,2330.0,2370.0,2330.0,12851.0
2015.02.27,2335.0,5.0,2340.0,2395.0,2335.0,13405.0
2015.03.02,2340.0,5.0,2465.0,2465.0,2335.0,1937.0
2015.03.03,2340.0,0.0,2340.0,2360.0,2330.0,30898.0
2015.03.04,2375.0,35.0,2385.0,2495.0,2355.0,15580.0
2015.03.05,2365.0,10.0,2400.0,2400.0,2345.0,39877.0
2015.03.06,2345.0,20.0,2365.0,2385.0,2345.0,14457.0
2015.03.09,2325.0,20.0,2385.0,2385.0,2305.0,14580.0
2015.03.10,2310.0,15.0,2290.0,2330.0,2200.0,30740.0
2015.03.11,2295.0,15.0,2290.0,2640.0,2140.0,65778.0
2015.03.12,2300.0,5.0,2390.0,2390.0,2255.0,11829.0
2015.03.13,2395.0,95.0,2350.0,2395.0,2350.0,2001.0
2015.03.16,2390.0,5.0,2390.0,2390.0,2390.0,100.0
2015.03.17,2460.0,70.0,2250.0,2655.0,2250.0,39578.0
2015.03.18,2465.0,5.0,2495.0,2495.0,2320.0,20055.0
2015.03.19,2500.0,35.0,2265.0,2530.0,2265.0,11316.0
2015.03.20,2350.0,150.0,2455.0,2500.0,2350.0,9576.0
2015.03.23,2385.0,35.0,2370.0,2400.0,2300.0,37565.0
2015.03.24,2340.0,45.0,2350.0,2400.0,2325.0,39472.0
2015.03.25,2335.0,5.0,2355.0,2455.0,2325.0,12894.0
2015.03.26,2345.0,10.0,2420.0,2420.0,2310.0,22916.0
2015.03.27,2460.0,115.0,2345.0,2520.0,2345.0,17084.0
2015.03.30,2445.0,15.0,2465.0,2465.0,2270.0,46029.0
2015.03.31,2415.0,30.0,2440.0,2440.0,2415.0,819.0
2015.04.01,2290.0,125.0,2280.0,2410.0,2250.0,63819.0
2015.04.02,2330.0,40.0,2250.0,2340.0,2250.0,13762.0
2015.04.03,2345.0,15.0,2290.0,2350.0,2290.0,8232.0
2015.04.06,2475.0,130.0,2355.0,2480.0,2355.0,57819.0
2015.04.07,2525.0,50.0,2495.0,2680.0,2475.0,19353.0
2015.04.08,2690.0,165.0,2425.0,2890.0,2425.0,16273.0
2015.04.09,2650.0,40.0,2620.0,2685.0,2605.0,14056.0
2015.04.10,2640.0,10.0,2650.0,2655.0,2615.0,12152.0
2015.04.13,2585.0,55.0,2640.0,2640.0,2580.0,29255.0
2015.04.14,2600.0,15.0,2595.0,2600.0,2590.0,2991.0
2015.04.15,2600.0,0.0,2690.0,2690.0,2600.0,2002.0
2015.04.16,2635.0,35.0,2665.0,2665.0,2600.0,6003.0
2015.04.17,2550.0,85.0,2545.0,2570.0,2535.0,28398.0
2015.04.20,2555.0,5.0,2500.0,2600.0,2445.0,64934.0
2015.04.21,2550.0,5.0,2510.0,2550.0,2495.0,56307.0
2015.04.22,2570.0,20.0,2550.0,2570.0,2500.0,44845.0
2015.04.23,2530.0,40.0,2500.0,2530.0,2500.0,25308.0
2015.04.24,2525.0,5.0,2510.0,2525.0,2480.0,27889.0
2015.04.27,2530.0,5.0,2525.0,2530.0,2500.0,4533.0
2015.04.28,2555.0,25.0,2530.0,2555.0,2510.0,14117.0
2015.04.29,2585.0,30.0,2555.0,2585.0,2555.0,3505.0
2015.04.30,2605.0,20.0,2530.0,2605.0,2530.0,6777.0
2015.05.04,2615.0,10.0,2520.0,2640.0,2520.0,50668.0
2015.05.06,2525.0,90.0,2580.0,2635.0,2500.0,26379.0
2015.05.07,2510.0,15.0,2500.0,2585.0,2470.0,79069.0
2015.05.08,2580.0,70.0,2530.0,2645.0,2530.0,34607.0
2015.05.11,2600.0,20.0,2580.0,2675.0,2535.0,68765.0
2015.05.12,2600.0,0.0,2650.0,2880.0,2535.0,86604.0
2015.05.13,2600.0,0.0,0.0,0.0,0.0,0.0
2015.05.14,2600.0,0.0,0.0,0.0,0.0,0.0
2015.05.15,2600.0,0.0,0.0,0.0,0.0,0.0
