날짜,종가,전일비,시가,고가,저가,거래량
2001.10.09,40000.0,0.0,40000.0,40000.0,40000.0,77793.0
2001.10.10,35200.0,4800.0,35200.0,35200.0,35200.0,7923.0
2001.10.11,31000.0,4200.0,31000.0,31000.0,31000.0,7533.0
2001.10.12,33000.0,2000.0,31100.0,34700.0,31050.0,286394.0
2001.10.15,30750.0,2250.0,33500.0,33800.0,30500.0,155021.0
2001.10.16,29150.0,1600.0,31200.0,32250.0,28500.0,101161.0
2001.10.17,30200.0,1050.0,29550.0,32100.0,28800.0,125328.0
2001.10.18,28600.0,1600.0,27400.0,30900.0,27400.0,89850.0
2001.10.19,28600.0,0.0,29500.0,29900.0,28600.0,53074.0
2001.10.22,30450.0,1850.0,29150.0,31750.0,29050.0,115386.0
2001.10.23,34100.0,3650.0,30450.0,34100.0,30100.0,121566.0
2001.10.24,31500.0,2600.0,33900.0,35500.0,31200.0,106777.0
2001.10.25,32200.0,700.0,32000.0,33700.0,31350.0,57622.0
2001.10.26,31000.0,1200.0,32800.0,32900.0,30700.0,42482.0
2001.10.29,31000.0,0.0,30550.0,32700.0,30400.0,61288.0
2001.10.30,31300.0,300.0,30550.0,32900.0,30100.0,63583.0
2001.10.31,35050.0,3750.0,32500.0,35050.0,31900.0,87492.0
2001.11.01,33500.0,1550.0,37100.0,39250.0,33400.0,196606.0
2001.11.02,32800.0,700.0,34000.0,34300.0,31950.0,44044.0
2001.11.05,33400.0,600.0,33500.0,34150.0,32600.0,41994.0
2001.11.06,32350.0,1050.0,33400.0,33800.0,32100.0,35829.0
2001.11.07,32500.0,150.0,32000.0,33400.0,32000.0,30036.0
2001.11.08,31500.0,1000.0,32550.0,33400.0,31500.0,26814.0
2001.11.09,32300.0,800.0,31600.0,33750.0,30800.0,60105.0
2001.11.12,35500.0,3200.0,34000.0,36150.0,33000.0,107409.0
2001.11.13,35500.0,0.0,34500.0,35500.0,32500.0,86454.0
2001.11.14,39750.0,4250.0,36850.0,39750.0,35650.0,120579.0
2001.11.15,41000.0,1250.0,41450.0,42450.0,36500.0,116911.0
2001.11.16,36500.0,4500.0,40000.0,41800.0,36500.0,90525.0
2001.11.19,34800.0,1700.0,35150.0,36000.0,33800.0,49823.0
2001.11.20,36000.0,1200.0,35300.0,36000.0,32500.0,67470.0
2001.11.21,33700.0,2300.0,34100.0,35700.0,33600.0,48463.0
2001.11.22,32700.0,1000.0,32500.0,33950.0,32500.0,26187.0
2001.11.23,32000.0,700.0,32600.0,33500.0,31600.0,20938.0
2001.11.26,31600.0,400.0,31500.0,32800.0,31500.0,30474.0
2001.11.27,30400.0,1200.0,31000.0,32000.0,30400.0,31140.0
2001.11.28,30600.0,200.0,30400.0,32000.0,30000.0,32328.0
2001.11.29,30700.0,100.0,30600.0,31400.0,30400.0,17354.0
2001.11.30,31700.0,1000.0,30700.0,32400.0,30700.0,14950.0
2001.12.03,31050.0,650.0,32000.0,33000.0,31050.0,21694.0
2001.12.04,30400.0,650.0,30700.0,31150.0,30400.0,15777.0
2001.12.05,30200.0,200.0,30000.0,30950.0,30000.0,20855.0
2001.12.06,29300.0,900.0,30750.0,30750.0,29100.0,25655.0
2001.12.07,29200.0,100.0,29150.0,29900.0,29050.0,21269.0
2001.12.10,29000.0,200.0,29100.0,29500.0,28500.0,12868.0
