날짜,종가,전일비,시가,고가,저가,거래량
2006.06.29,385000.0,5000.0,380000.0,405000.0,375000.0,119565.0
2006.06.30,409500.0,24500.0,396000.0,409500.0,390000.0,68951.0
2006.07.03,414500.0,5000.0,413000.0,417000.0,399000.0,20742.0
2006.07.04,440000.0,25500.0,415500.0,443000.0,415500.0,27737.0
2006.07.05,440000.0,0.0,427000.0,440000.0,427000.0,18284.0
2006.07.06,444000.0,4000.0,440000.0,448000.0,436500.0,22780.0
2006.07.07,458000.0,14000.0,450500.0,459000.0,444000.0,29445.0
2006.07.10,457500.0,500.0,446000.0,458500.0,446000.0,13958.0
2006.07.11,455000.0,2500.0,453500.0,457000.0,448000.0,20227.0
2006.07.12,445000.0,10000.0,448000.0,451000.0,432500.0,19906.0
2006.07.13,430000.0,15000.0,438000.0,444000.0,421500.0,18178.0
2006.07.14,430500.0,500.0,427000.0,458500.0,416500.0,9963.0
2006.07.18,405000.0,25500.0,430000.0,430000.0,405000.0,20868.0
2006.07.19,405000.0,0.0,401500.0,410000.0,401500.0,11919.0
2006.07.20,408000.0,3000.0,407500.0,409000.0,400000.0,12361.0
2006.07.21,394000.0,14000.0,402000.0,407000.0,393500.0,11183.0
2006.07.24,400500.0,6500.0,394000.0,400500.0,394000.0,23297.0
2006.07.25,400000.0,500.0,414500.0,414500.0,398000.0,17459.0
2006.07.26,395000.0,5000.0,400000.0,403000.0,395000.0,39637.0
2006.07.27,399500.0,4500.0,399500.0,403000.0,398000.0,20455.0
2006.07.28,400000.0,500.0,399500.0,400000.0,394500.0,10743.0
2006.07.31,401000.0,1000.0,400500.0,402500.0,398000.0,9932.0
2006.08.01,401000.0,0.0,401000.0,401000.0,398000.0,7077.0
2006.08.02,402000.0,1000.0,402000.0,403000.0,399000.0,6782.0
2006.08.03,404500.0,2500.0,408000.0,408000.0,395000.0,6803.0
2006.08.04,411000.0,6500.0,404500.0,411000.0,403500.0,16447.0
2006.08.07,409500.0,1500.0,410000.0,412000.0,407000.0,4343.0
2006.08.08,415000.0,5500.0,405500.0,415000.0,405500.0,7183.0
2006.08.09,418500.0,3500.0,405000.0,418500.0,405000.0,7046.0
2006.08.10,419000.0,500.0,415500.0,419000.0,412500.0,5033.0
2006.08.11,418500.0,500.0,419000.0,420000.0,412000.0,4544.0
2006.08.14,418000.0,500.0,419000.0,419000.0,414000.0,4609.0
2006.08.16,415500.0,2500.0,418000.0,418500.0,415500.0,6585.0
2006.08.17,414500.0,1000.0,411000.0,415500.0,405000.0,14130.0
2006.08.18,405500.0,9000.0,409000.0,415000.0,405500.0,11315.0
2006.08.21,404000.0,1500.0,405000.0,406500.0,401000.0,16482.0
2006.08.22,409000.0,5000.0,404000.0,415000.0,401500.0,11435.0
2006.08.23,414500.0,5500.0,407000.0,418000.0,405500.0,8112.0
2006.08.24,412000.0,2500.0,411500.0,415000.0,410000.0,8222.0
2006.08.25,415500.0,3500.0,415000.0,415500.0,407500.0,24952.0
2006.08.28,416000.0,500.0,414500.0,416000.0,410000.0,7044.0
2006.08.29,414000.0,2000.0,415000.0,415500.0,411500.0,6569.0
2006.08.30,416500.0,2500.0,410500.0,417000.0,410500.0,8380.0
2006.08.31,418000.0,1500.0,416500.0,418000.0,411000.0,11137.0
2006.09.01,413500.0,4500.0,415000.0,416000.0,412500.0,5823.0
2006.09.04,411000.0,2500.0,416000.0,416000.0,408000.0,7419.0
2006.09.05,409000.0,2000.0,411000.0,413500.0,405500.0,5361.0
2006.09.06,405000.0,4000.0,406500.0,407000.0,404000.0,9757.0
2006.09.07,401500.0,3500.0,402000.0,404000.0,399000.0,10990.0
2006.09.08,402500.0,1000.0,400000.0,403000.0,399500.0,6748.0
2006.09.11,398000.0,4500.0,402000.0,402000.0,398000.0,10453.0
2006.09.12,389500.0,8500.0,395500.0,396000.0,387500.0,20404.0
2006.09.13,398000.0,8500.0,397500.0,398500.0,390000.0,12104.0
2006.09.14,400000.0,2000.0,397500.0,401000.0,395000.0,15368.0
2006.09.15,415000.0,15000.0,400500.0,421000.0,400500.0,24776.0
2006.09.18,420000.0,5000.0,415000.0,421000.0,414000.0,24835.0
2006.09.19,433000.0,13000.0,421000.0,433500.0,421000.0,42207.0
2006.09.20,430000.0,3000.0,434000.0,434000.0,424500.0,11122.0
2006.09.21,429000.0,1000.0,427500.0,431500.0,426000.0,14243.0
2006.09.22,437500.0,8500.0,429000.0,443500.0,429000.0,21289.0
2006.09.25,430000.0,7500.0,434500.0,437000.0,426000.0,5415.0
2006.09.26,431500.0,1500.0,432000.0,435500.0,429000.0,9848.0
2006.09.27,438000.0,6500.0,444000.0,444000.0,431500.0,15963.0
2006.09.28,433000.0,5000.0,438000.0,438000.0,431000.0,21197.0
2006.09.29,440000.0,7000.0,433500.0,447500.0,431000.0,11229.0
2006.10.02,449500.0,9500.0,440000.0,449500.0,438000.0,8091.0
2006.10.04,455500.0,6000.0,447500.0,460000.0,440000.0,13551.0
2006.10.09,455500.0,0.0,453500.0,457000.0,433500.0,11847.0
2006.10.10,460000.0,4500.0,450000.0,460000.0,447000.0,15808.0
2006.10.11,460000.0,0.0,459000.0,460000.0,454000.0,4486.0
2006.10.12,464000.0,4000.0,460000.0,464500.0,457500.0,16777.0
2006.10.13,466000.0,2000.0,464500.0,466000.0,458000.0,6368.0
2006.10.16,466500.0,500.0,465500.0,466500.0,457000.0,7556.0
2006.10.17,466500.0,0.0,467500.0,471500.0,460500.0,7525.0
2006.10.18,466500.0,0.0,463000.0,466500.0,459000.0,4213.0
2006.10.19,470000.0,3500.0,470000.0,478000.0,463500.0,14248.0
2006.10.20,469000.0,1000.0,474500.0,474500.0,466000.0,6652.0
