날짜,종가,전일비,시가,고가,저가,거래량
2009.12.30,1105.0,195.0,1300.0,1300.0,1105.0,1566977.0
2010.01.04,940.0,165.0,940.0,1055.0,940.0,4497908.0
2010.01.05,940.0,0.0,940.0,1005.0,930.0,4774054.0
2010.01.06,935.0,5.0,970.0,970.0,935.0,1595603.0
2010.01.07,885.0,50.0,935.0,945.0,865.0,2305339.0
2010.01.08,880.0,5.0,890.0,910.0,870.0,1151120.0
2010.01.11,890.0,10.0,880.0,930.0,880.0,1020793.0
2010.01.12,905.0,15.0,900.0,910.0,890.0,668651.0
2010.01.13,880.0,25.0,905.0,910.0,865.0,718214.0
2010.01.14,865.0,15.0,875.0,895.0,860.0,541488.0
2010.01.15,890.0,25.0,865.0,905.0,865.0,900994.0
2010.01.18,885.0,5.0,895.0,895.0,870.0,558615.0
2010.01.19,870.0,15.0,875.0,890.0,865.0,611008.0
2010.01.20,855.0,15.0,875.0,880.0,850.0,560466.0
2010.01.21,855.0,0.0,845.0,860.0,845.0,541365.0
2010.01.22,840.0,15.0,850.0,850.0,825.0,544506.0
2010.01.25,830.0,10.0,835.0,855.0,820.0,529558.0
2010.01.26,925.0,95.0,840.0,950.0,830.0,4257176.0
2010.01.27,880.0,45.0,930.0,935.0,855.0,1452210.0
2010.01.28,860.0,20.0,895.0,900.0,850.0,638448.0
2010.01.29,840.0,20.0,835.0,860.0,815.0,651872.0
2010.02.01,825.0,15.0,825.0,865.0,815.0,682548.0
2010.02.02,820.0,5.0,825.0,835.0,815.0,705704.0
2010.02.03,825.0,5.0,830.0,840.0,820.0,252124.0
2010.02.04,830.0,5.0,845.0,855.0,825.0,479743.0
2010.02.05,800.0,30.0,805.0,820.0,790.0,684022.0
2010.02.08,780.0,20.0,815.0,815.0,780.0,437263.0
2010.02.09,775.0,5.0,775.0,785.0,760.0,307081.0
2010.02.10,770.0,5.0,780.0,785.0,765.0,230558.0
2010.02.11,770.0,0.0,775.0,780.0,765.0,213759.0
2010.02.12,780.0,10.0,770.0,790.0,770.0,401865.0
2010.02.16,785.0,5.0,780.0,815.0,775.0,351388.0
2010.02.17,795.0,10.0,785.0,810.0,785.0,409401.0
2010.02.18,795.0,0.0,790.0,805.0,785.0,177783.0
2010.02.19,785.0,10.0,795.0,800.0,775.0,359605.0
