삼성,SK하이닉스,NAVER,씨젠,우리들휴브레인,현대차,DGB금융지주,미스터블루,셀트리온,데일리블록체인,소리바다,한화솔루션,아모레퍼시픽,CJ대한통운,GS건설
36948.21875,73416.64844,143216.4063,21505.14844,2150.327148,126491.0469,6737.66748,9285.294922,156928.8438,671.6148682,868.5734863,16592.71094,122328.5703,140238.2188,30960.36719
37364.64844,75685.35156,143754.6563,22022.26172,2184.906738,128012.7266,6820.290527,9335.557617,157671.9531,703.2807007,867.4750366,17084.63867,124881.2969,142604.75,31613.72461
37234.98438,77010.28125,145993.6719,22597.40039,2169.770752,130304.7891,6849.492676,9417.095703,157103.4375,714.8834229,874.8339844,17024.1875,127300.9688,145506.3438,31374.28711
36783.66797,77296.82031,147270.5938,22378.5293,2194.916016,128644.25,6883.366211,9917.833984,159793.8125,719.6367188,897.5465698,17153.86914,132606.6406,142781.8125,31324.63477
37408.45313,78901.35156,148102.9844,22438.5,2189.519531,128341.4844,6996.402344,10025.78418,166010.2656,730.1438599,907.086731,17210.40039,135352.0469,142315.0313,31200.48242
38760.4375,81252.28125,146138.2813,22421.33203,2264.725342,127896.5625,7098.262207,9695.894531,165038.8906,732.758667,952.0933838,17675.3125,137656.9063,140328.125,31597.24023
39440.44141,81802.53125,146680.7188,22240.77539,2285.875732,127445.5625,7125.443848,9192.569336,165415.0938,725.7859497,971.9379272,17569.30273,137312.6875,137132.1094,31494.63086
40079.89844,83189.125,148919.1406,21729.39648,2362.165771,126989.5078,7140.99707,8335.982422,165831.0938,707.4796753,971.3794556,17932.57617,137871.2656,135753.6094,32011.98438
40297.47266,83168.82813,148475.0469,21573.84961,2376.554199,127746.4531,7218.866699,8388.919922,165123.7031,707.3223877,976.9190674,17868.44727,138189.2813,136898.0313,32741.94336
40492.86328,82777.78906,149997.8594,21709.91406,2402.742432,128702.5391,7329.208008,8095.504883,167996.8906,712.2111816,967.6873779,17913.25977,139278.0313,139319.7031,33096.79688
40502.73828,80883.36719,151216.5938,21863.79102,2371.668213,128041.4375,7528.083984,7635.067383,170107.375,730.9379272,965.7143555,18291.45313,140578.8125,140621.125,34183.42969
40359.24609,79845.35938,152022.9688,22087.42383,2392.659424,126274.9531,7627.599121,7514.166992,170981.2031,706.6047974,977.1624756,18548.48047,139567.7969,140305.3281,34345.28125
40993.41016,79828.63281,154662.7031,22788.11328,2391.841064,127189.4922,7618.02832,7474.289551,173035.9688,684.937439,1023.797607,18331.74023,138683.1875,142872.7969,33809.19922
42243.89063,81261.54688,154915.1406,22790.82422,2351.615234,128587.1172,7582.724121,8274.746094,169620.4844,689.8699951,1016.025452,18137.36523,138043.3438,141423.6094,33201.80469
42473.1875,81828.11719,154702.7188,22638.99414,2253.977539,129240.7109,7683.956543,8057.536133,173944.4375,687.0117188,993.6068115,18225.64063,138003.5625,142113.8125,33233.28125
42648.56641,82419.39844,154573.0938,22552.30273,2230.108643,132199.0625,7680.508301,7869.269531,171897.4063,679.1541748,988.8021851,17955.11523,137291.0625,143546.4688,33008.73047
42866.15234,83001.33594,155082.1563,22280.58398,2293.774658,133505.6094,7661.486816,7877.125,169094.6563,679.9282837,980.1625366,18263.23828,137902.5625,145477.0781,33035.98438
42427.12891,82457.33594,155300.625,21917.68555,2573.737549,134102.1719,7631.474121,7361.020508,166797.6094,673.2849731,969.526123,17630.61523,137845.3125,145045.1563,32224.3418
42627.29688,82854,155393.7969,21950.71484,2582.473145,132943.3438,7616.105957,7154.585938,166743.125,656.5731201,966.9586182,17637.17383,137405.6563,148038.8281,32237.89258
41991.86719,82050.57031,154263.6719,21511.75586,2578.158203,133167.1563,7513.292969,7112.714355,166184.8438,653.3485107,967.9555054,17500.06641,139678.7031,146745.3438,31769.13281
42437.95703,82035.67188,154354.8438,21130.86523,2513.513428,133656.4219,7494.049316,7168.69873,164546.4219,634.8831177,965.2950439,17763.9082,139703.4688,144680.3438,32278.08398
